Date,Product,Category,Quantity,Price,CustomerID
2023-02-24,Jelly Beans,Confectionery,35,0.75,C066
2023-02-25,Bell Peppers,Produce,15,1.50,C067
2023-02-26,Soy Milk,Dairy,6,3.00,C068
2023-02-26,Pretzel,Bakery,20,1.00,C069
2023-02-27,Feta Cheese,Dairy,8,3.50,C070
2023-02-28,Kiwi,Fruit,12,1.00,C071
2023-03-01,Mango,Fruit,10,2.00,C072
2023-03-02,Salmon,Meat,7,11.00,C073
2023-03-03,Hand Soap,Personal Care,5,4.50,C074
2023-03-04,Lemonade,Beverages,15,2.00,C075
2023-03-05,Marshmallows,Confectionery,50,0.50,C076
2023-03-06,Zucchini,Produce,18,1.00,C077
2023-03-07,Ricotta Cheese,Dairy,4,3.00,C078
2023-03-07,Scone,Bakery,12,1.80,C079
2023-03-08,Provolone Cheese,Dairy,6,4.00,C080
2023-03-09,Pineapple,Fruit,8,3.00,C081
2023-03-09,Papaya,Fruit,6,4.00,C082
2023-03-10,Trout,Meat,5,10.00,C083
2023-03-11,Body Wash,Personal Care,7,5.50,C084
2023-03-12,Iced Tea,Beverages,10,2.50,C085
2023-03-13,Licorice,Confectionery,30,0.80,C086
2023-03-14,Cucumbers,Produce,20,0.90,C087
2023-03-15,Colby Cheese,Dairy,5,3.50,C088
2023-03-15,Muffin,Bakery,15,1.50,C089
2023-03-16,Monterey Jack Cheese,Dairy,7,4.00,C090
2023-03-17,Honeydew,Fruit,4,3.50,C091
2023-03-17,Guava,Fruit,5,2.50,C092
2023-03-18,Tilapia,Meat,8,7.00,C093
2023-03-19,Face Scrub,Personal Care,3,9.00,C094
2023-03-20,Herbal Tea,Beverages,12,3.00,C095
2023-03-21,Caramel,Confectionery,40,0.60,C096
2023-03-22,Green Beans,Produce,25,1.00,C097
2023-03-23,Swiss Cheese,Dairy,6,4.50,C098
2023-03-23,Cornbread,Bakery,10,2.00,C099
2023-03-24,Gouda Cheese,Dairy,5,5.00,C100
